Complexity,Loss,Equation
1,0.0723076,"x1"
3,0.04366832,"(x1 - 0.16923505)"
4,0.02849471,"(log(x1) / 0.3611117)"
6,0.028201517,"(log(x1 / 0.9795024) / 0.36700886)"
8,0.027822822,"((log(x1) / 0.35865235) + (-0.13288051 / x2))"
9,0.017526945,"((x1 + cos(log(x3 / x1))) + -0.9505179)"
10,0.013133343,"((x1 + cos(sin(x2 + sin(x1)))) + -0.9505179)"
11,0.012015256,"((x1 + cos(log(x3 / (x1 * 1.1589179)))) + -0.9505179)"
12,0.010806504,"(((x1 + cos(sin(x2 + sin(x1)))) + -0.017647004) + -0.9505179)"
19,0.010643002,"(sin((((sin(exp(x2)) / sin(-1.1116259 + x1)) / x1) / x2) - 0.7668985) + (x1 + 0.56787974))"
20,0.010001838,"(sin(sin(((sin(exp(x2)) / sin(-1.1116259 + x1)) / x1) / x1) - 0.7668985) + (x1 + 0.56787974))"
